84c72aff7ade2924e5bc55e5571cb0fb491f1889,DELETE,regular-file,app/src/main/jniLibs/x86_64/libopencv_java4.so,55795888,
84c72aff7ade2924e5bc55e5571cb0fb491f1889,DELETE,regular-file,opencv/build/intermediates/library_and_local_jars_jni/release/copyReleaseJniLibsProjectAndLocalJars/jni/x86_64/libopencv_java4.so,55795888,
84c72aff7ade2924e5bc55e5571cb0fb491f1889,DELETE,regular-file,opencv/build/intermediates/library_jni/debug/copyDebugJniLibsProjectOnly/jni/x86_64/libopencv_java4.so,55795888,
84c72aff7ade2924e5bc55e5571cb0fb491f1889,DELETE,regular-file,opencv/build/intermediates/library_jni/release/copyReleaseJniLibsProjectOnly/jni/x86_64/libopencv_java4.so,55795888,
84c72aff7ade2924e5bc55e5571cb0fb491f1889,DELETE,regular-file,opencv/build/intermediates/merged_jni_libs/debug/mergeDebugJniLibFolders/out/x86_64/libopencv_java4.so,55795888,
84c72aff7ade2924e5bc55e5571cb0fb491f1889,DELETE,regular-file,opencv/build/intermediates/merged_jni_libs/release/mergeReleaseJniLibFolders/out/x86_64/libopencv_java4.so,55795888,
84c72aff7ade2924e5bc55e5571cb0fb491f1889,DELETE,regular-file,opencv/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/x86_64/libopencv_java4.so,55795888,
84c72aff7ade2924e5bc55e5571cb0fb491f1889,DELETE,regular-file,opencv/build/intermediates/merged_native_libs/release/mergeReleaseNativeLibs/out/lib/x86_64/libopencv_java4.so,55795888,
84c72aff7ade2924e5bc55e5571cb0fb491f1889,DELETE,regular-file,opencv/build/intermediates/stripped_native_libs/release/stripReleaseDebugSymbols/out/lib/x86_64/libopencv_java4.so,55795888,
bdd1a2ec159c8d82f29fc5fda71b8625992c1478,DELETE,regular-file,opencv/native/3rdparty/libs/x86_64/libippicv.a,99128356,
84c72aff7ade2924e5bc55e5571cb0fb491f1889,DELETE,regular-file,opencv/native/libs/x86_64/libopencv_java4.so,55795888,
